"EDNAME,C,80",2022 Population
Killyon,276
Kinnitty,596
Knockbarron,223
Lea,356
Letter,161
Lumcloon,353
Lusmagh,548
Mounterin,263
Moyclare,628
Seirkieran,497
Shannonbridge,272
Shannonharbour,363
Srah,721
Ballyburly,1388
Ballymacwilliam,652
Bracknagh,1141
Clonbulloge,825
Clonmore,508
Croghan,570
Edenderry Rural,890
Edenderry Urban,7612
Esker/Ballaghassaan,495
Knockdrin,198
Monasteroris,892
Aghancon,371
Ballincor,185
Barna,170
Cangort,200
Cullenwaine,784
Dunkerrin,385
Ettagh,515
Gorteen,291
Mountheaton,665
Roscomroe,159
Shinrone,1041
Templeharry,215
Tulla,108
Ballycommon,659
Ballyshear,407
Bawn,353
Cappancur,1701
Clara,4229
Clonygowan,727
Daingean,1619
Derrycooley,297
Durrow,798
Geashill,1659
Gorteen,366
Hammerlane,590
Kilclonfert,448
Kilcumreragh,553
Killeigh,1321
Killooly,271
Killoughy,771
Mountbriscoe,268
O'Dempsey,161
Portarlington North,2591
Rahan,753
Raheenakeeran,428
Rathfeston,460
Rathrobin,461
Screggan,1513
Silverbrook,822
Tinamuck,300
Tinnycross,467
Tullamore Rural,3555
Athlone East Urban,4811
Athlone West Urban,3403
Athlone East Rural,8020
Auburn,785
Ballybroder,240
Bellanalack,578
Carn,805
Castledaly,774
Glassan,922
Kilcumreragh,397
Killinure,469
Moate,3521
Mount Temple,743
Moydrum,3155
Muckanagh,186
Tubbrit,719
Umma,293
Ardnagragh,494
Ballymore,735
Doonis,259
Drumraney,261
Noughaval,417
Piercetown,129
Templepatrick,198
Winetown,147
Boherquill,183
Coole,249
Coolure,352
Finnea,248
Glore,186
Knockarrow,128
Rathowen,386
Street,268
Ballinlough,178
Ballyhealy,339
Ballynaskeagh,306
Bracklin,275
Clonarney,538
Collinstown,610
Copperalley,266
Delvin,1135
Faughalstown,296
Fore East,422
Fore West,404
Hilltown,276
Kilcumny,225
Killua,1143
Killulagh,493
Kilpatrick,243
Kinturk,1508
Riverdale,515
Rosmead,312
Ardnaglew,323
Ballinalack/Lackan,633
Ballykilmore,778
Ballymorin,389
Ballynagore,554
Belvidere,788
Carrick,348
Castle,1116
Castlelost,1736
Castletown,824
Churchtown,362
Cloghan,380
Clonfad,697
Clonlost,469
Derrymore,260
Dysart,268
Emper,217
Enniscoffey,431
Gaybrook,436
Glenlough,176
Greenpark,285
Griffinstown,605
Heathstown,749
Hopestown,570
Huntingdon,449
Jamestown,175
Kilbeggan,1909
Kilbixy,621
Killare,369
Killucan,2039
Kinnegad,3245
Knockdrim,609
Lauree,223
Middleton,389
Milltown,320
Mullingar Rural,11633
Mullingar North Urban,5877
Mullingar South Urban,5002
Multyfarnham,656
Newtown,262
Owel,480
Portloman,322
Raharney,524
Rahugh,310
Rathconrath,400
Russellstown,534
Skeagh,259
Sonna,357
Stonehall,236
Streamstown,517
Taghmon,449
Tullaghan,422
Woodland,294
Enniscorthy Urban,2695
New Ross Urban,3961
Rosbercon Urban,699
Wexford No. 1 Urban,1702
Wexford No. 2 Urban,4277
Wexford No. 3 Urban,1392
Ballindaggan,818
Ballycarney,503
Ballyhoge,1332
Ballyhuskard,1705
Ballymore,516
Ballyvaldon,802
Bolaboy,1252
Bree,1509
Castleboro,964
Castledockrell,502
Castle Ellis,1284
Castle Talbot,987
Clonroche,1333
Edermine,1597
Enniscorthy Rural,10897
Ferns,1598
Kilbora,433
Kilcormick,731
Killann,1041
Kilmallock,1550
Killoughrum,848
Kilrush,476
Kiltealy,510
Marshalstown,1113
Moyacomb,460
Newtownbarry,2440
Rossard,524
St. Mary's,787
The Harrow,522
The Leap,1029
Tinnacross,1037
Tombrack,840
